Name,Lifetime,Nationality,Notable as,Orientation,Sex,Era,Name.old
 Curtis Harrington,1928,American,Filmmaker,G,M,AD,Curtis Harrington
 Rex Harrington,1962,Canadian,Ballet dancer,G,M,AD,Rex Harrington
 Barry Harris,�,Canadian,"Musician, composer, DJ",G,M,AD,Barry Harris
 Bertha Harris,1937-2005,American,Novelist,L,F,AD,Bertha Harris
 E Lynn Harris,1955,American,Author,G,M,AD,E. Lynn Harris
 Greg Harris,1955,American,Politician,G,M,AD,Greg Harris
 Sam Harris,1961,American,"Pop musician, actor",G,M,AD,Sam Harris
 Neil Patrick Harris,1973,American,Actor,G,M,AD,Neil Patrick Harris
 Lou Harrison,1917-2003,American,20th century classical composer,G,M,AD,Lou Harrison
 Randy Harrison,1977,American,Actor,G,M,AD,Randy Harrison
 Ellen Hart,1949,American,Author,L,F,AD,Ellen Hart
 Grant Hart,1961,American,Rock musician,G,M,AD,Grant Hart
 Hannah Hart,1986,American,Internet comedian,L,F,AD,Hannah Hart
 Lorenz Hart,1895-1943,American,Lyricist half of Broadway songwriting team Rodgers and Hart,G,M,AD,Lorenz Hart
 Derek Hartley,1969,American,Talk show host.,G,M,AD,Derek Hartley
 Marsden Hartley,1877-1943,American,"Painter, poet",G,M,AD,Marsden Hartley
 Nina Hartley,1959,American,Porn star,B,F,AD,Nina Hartley
 Andrew Harvey,1952,Indian,Spiritual scholar,G,M,AD,Andrew Harvey
 Ben Harvey,�,American,DJ,G,M,AD,Ben Harvey
 Donald Harvey,1952,American,Serial killer,G,M,AD,Donald Harvey
 Ian Harvey,1914-1987,English,MP,G,M,AD,Ian Harvey
 Jonathan Harvey,1968,English,Playwright,G,M,AD,Jonathan Harvey
 Patrick Harvie,1973,Scottish,Politician,B,M,AD,Patrick Harvie
 Don Harwin,1964,Australian,Politician,G,M,AD,Don Harwin
 Kaj Hasselriis,1974,Canadian,"Politician, journalist",G,M,AD,Kaj Hasselriis
 Beatrice Hastings,1879-1943,English,Writer,B,F,AD,Beatrice Hastings
 Bill Hastings,1957,New Zealand,Chief Censor of New Zealand,G,M,AD,Bill Hastings
 Richard Hatch,1961,American,Reality show contestant,G,M,AD,Richard Hatch
 Richard Hatfield,1931-1991,Canadian,Politician,G,M,AD,Richard Hatfield
 Kyle Hawkins,1975,American,Lacrosse coach,G,M,AD,Kyle Hawkins
 Neil Francis Hawkins,1903-1950,British,Fascist politician,G,M,AD,Neil Francis Hawkins
 Sophie B Hawkins,1967,American,Pop musician,B,F,AD,Sophie B. Hawkins
 Nigel Hawthorne,1929-2001,English,Actor,G,M,AD,Nigel Hawthorne
 Harry Hay,1912-2002,American,LGBT rights activist,G,M,AD,Harry Hay
 Andrew Hayden Smith,1983,English,TV Presenter,G,M,AD,Andrew Hayden-Smith
 Darren Hayes,1972,Australian,Pop musician (Savage Garden),G,M,AD,Darren Hayes
 Sean Hayes,1970,American,Actor,G,M,AD,Sean Hayes
 Todd Haynes,1961,American,Film director,G,M,AD,Todd Haynes
 James Healey,�,American,Politician,G,M,AD,James Healey
 Trebor Healey,�,American,Writer,G,M,AD,Trebor Healey
 Jane Heap,1883-1964,American,Publisher,B,F,AD,Jane Heap
 Amber Heard,1986,American,Actor,B,F,AD,Amber Heard
 Anne Heche,1969,American,Actor,B,F,AD,Anne Heche
 Alexandra Hedison,1969,American,Actor,L,F,AD,Alexandra Hedison
 Antony Hegarty,1971,English,Singer-songwriter,G,M,AD,Antony Hegarty
 Scott Heim,1966,American,Novelist,G,M,AD,Scott Heim
 Alex Heimberg,�,American,Drag performer,G,M,AD,Alex Heimberg
 Allan Heinberg,1967,American,Scriptwriter,G,M,AD,Allan Heinberg
 Pekka Heino,1961,Swedish,Television presenter,G,M,AD,Pekka Heino
 Matt Heinz,1977,American,"Physician, politician",G,M,AD,Matt Heinz
 Mathew Helm,1980,Australian,Diver,G,M,AD,Mathew Helm
 Robert Helps,1928-2001,American,20th century classical composer and musician,G,M,AD,Robert Helps
 Essex Hemphill,1957-1995,American,"Poet, activist",G,M,AD,Essex Hemphill
 Michael Hendricks,�,Canadian,"LGBT rights activist, half of first same-sex marriage in Canada",G,M,AD,Michael Hendricks
 Susan Henking,1955,American,Religious studies scholar and president of Shimer College,L,F,AD,Susan Henking
 Aaron Henry,1922-1977,American,"Civil rights leader, politician",B,M,AD,Aaron Henry
 Philip Hensher,1965,English,"Author, journalist",G,M,AD,Philip Hensher
 Jaymi Hensley,1990,English,Singer,G,M,AD,Jaymi Hensley
 Hans Werner Henze,1926-2012,German,Composer,G,M,AD,Hans Werner Henze
 Alan Herbert,�,Canadian,Politician,G,M,AD,Alan Herbert
 Gilbert Herdt,1949,American,Anthropologist,G,M,AD,Gilbert Herdt
 Bernd Ulrich Hergemoller,1950,German,Historian,G,M,AD,Bernd-Ulrich Hergemöller
 Bettina Herlitzius,1960,German,Politician,L,F,AD,Bettina Herlitzius
 Isabell Herlovsen,1988,Norwegian,Football (soccer) player,L,F,AD,Isabell Herlovsen
 Jerry Herman,1933,American,Musical theater composer,G,M,AD,Jerry Herman
 Thomas Hermanns,1963,German,TV personality,G,M,AD,Thomas Hermanns
 Kakan Hermansson,1981,Swedish,"TV presenter, radio host",L,F,AD,Kakan Hermansson
 Clodovil Hernandes,1937-2009,Brazilian,"Fashion stylist, politician",G,M,AD,Clodovil Hernandes
 William Hernandez,1979,American,Reality TV personality,G,M,AD,William Hernandez
 Ty Herndon,1962,American,Singer,G,M,AD,Ty Herndon
 Sighsten Herrga,1943-1989,Swedish,Fashion designer,G,M,AD,Sighsten Herrgård
 Fred Hersch,1955,American,Jazz musician,G,M,AD,Fred Hersch
 Joe Herzenberg,1941-2007,American,Politician and activist,G,M,AD,Joe Herzenberg
 Carl Hester,1967,British,Dressage rider,G,M,AD,Carl Hester
 Laurel Hester,1956-2006,American,Police officer,L,F,AD,Laurel Hester
 Richard A Heyman,1935-1994,American,Politician,G,M,AD,Richard A. Heyman
 Carter Heyward,1945,American,Clergy,L,F,AD,Carter Heyward
 Edward Hibbert,1955,American,Actor,G,M,AD,Edward Hibbert
 John Benjamin Hickey,1963,American,Actor,G,M,AD,John Benjamin Hickey
 Rene Hicks,�,American,Comedian,L,F,AD,René Hicks
 Missy Higgins,1983,Australian,Pop musician,B,F,AD,Missy Higgins
 Rene Highway,1954-1990,Canadian,Dancer,L,F,AD,René Highway
 Jennifer Higdon,1962,American,Contemporary classical composer and musician,L,F,AD,Jennifer Higdon
 Abraham Higginbotham,�,American,Screenwriter,G,M,AD,Abraham Higginbotham
 Patricia Highsmith / Claire Morgan,1921-1995,American,Writer,B,F,AD,Patricia Highsmith / Claire Morgan
 Steve Hildebrand,�,American,Democratic strategist,G,M,AD,Steve Hildebrand
 Jane Hill,1969,British,Newsreader,L,F,AD,Jane Hill
 Perez Hilton,1978,American,Celebrity gossip blogger,G,M,AD,Perez Hilton
 Jon Hinson,1942-1995,American,Politician,G,M,AD,Jon Hinson
 Magnus Hirschfeld,1868-1935,German,"Doctor, LGBT rights activist",G,M,AD,Magnus Hirschfeld
 George Hislop,1927-2005,Canadian,Gay rights activist,G,M,AD,George Hislop
 Charles Hitchen,1675-1727,English,Thief-taker,G,M,AD,Charles Hitchen
 Thomas Hitzlsperger,1982,German,Retired football player,G,M,AD,Thomas Hitzlsperger
 Simon Hobart,1964-2005,English,Nightclub owner,G,M,AD,Simon Hobart
 Hannah Hoch,1889-1978,German,Artist,B,F,AD,Hannah Höch
 David Hockney,1937,English,Artist,G,M,AD,David Hockney
 Guy Hocquenghem,1946-1988,French,Philosopher,G,M,AD,Guy Hocquenghem
 Gunvor Hofmo,1921-1995,Norwegian,Poet,G,M,AD,Gunvor Hofmo
 Kate Hogan,1957,American,Politician,L,F,AD,Kate Hogan
 Lee Hoiby,1926-2011,American,Composer,G,M,AD,Lee Hoiby
 Tony Holiday,1951-1990,German,Singer,G,M,AD,Tony Holiday
 Ursula Holl,1981,German,Footballer,L,F,AD,Ursula Holl
 Todd Holland,1961,American,Film and TV director/producer,G,M,AD,Todd Holland
 Xaviera Hollander,1943,American,"Writer, Madam",B,F,AD,Xaviera Hollander
 Andrew Holleran,1944,American,Writer,G,M,AD,Andrew Holleran
 Alan Hollinghurst,1954,English,Author,G,M,AD,Alan Hollinghurst
 Ulf Holm,1969,Swedish,Politician,G,M,AD,Ulf Holm
 Erika Holst,1979,Swedish,Ice hockey player,L,F,AD,Erika Holst
 Hong Seokcheon,1971,Korean,Actor,G,M,AD,Hong Seok-cheon
 Philippe Honore,1967,French,Classical musician,G,M,AD,Philippe Honoré
 James Hormel,1933,American,Former United States ambassador to Luxembourg,G,M,AD,James Hormel
 Anders Hornslien,1970,Norwegian,Politician,G,M,AD,Anders Hornslien
 Vladimir Horowitz,1902-1989,Russian,Pianist,G,M,AD,Vladimir Horowitz
 Horst P,1906-1999,German,Photographer,G,M,AD,Horst P. Horst
 Elmyr de Hory,1906-1976,Hungarian,"Artist, art forger",G,M,AD,Elmyr de Hory
 Silvio Horta,1974,American,"Screenwriter, producer",G,M,AD,Silvio Horta
 Craig Revel Horwood,1965,Australian,"Dancer, choreographer, TV personality",B,M,AD,Craig Revel Horwood
 Basil Hoskins,1929-2005,English,Actor,G,M,AD,Basil Hoskins
 Stephen Hough,1961,British,Composer and pianist,G,M,AD,Stephen Hough
 A E Housman,1859-1936,English,Poet,G,M,AD,A. E. Housman
 Laurence Housman,1865-1959,English,Playwright,G,M,AD,Laurence Housman
 Charlie Howard,1961-1984,American,Murder victim,G,M,AD,Charlie Howard
 James Howe,1946,American,Children's author,G,M,AD,James Howe
 Frankie Howerd,1917-1992,English,Comedian,G,M,AD,Frankie Howerd
 Bent Ha,1971,Norwegian,Politician,G,M,AD,Bent Høie
 David Hoyle,1962,English,Performance artist,G,M,AD,David Hoyle
 Rock Hudson,1925-1985,American,Actor,G,M,AD,Rock Hudson
 Waymon Hudson,1979,American,"LGBT activist, writer",G,M,AD,Waymon Hudson
 Tanya Huff,1957,Canadian,Writer,L,F,AD,Tanya Huff
 Michael Huffington,1947,American,"Politician, activist",B,M,AD,Michael Huffington
 Huffty,�,British,Television presenter,L,F,AD,Huffty
 Sarah Huffman,1984,American,Former soccer player,L,F,AD,Sarah Huffman
 Chris Hughes,1983,American,"Entrepreneur, co-founder of Facebook",G,M,AD,Chris Hughes
 Gareth Hughes,1894-1965,Welsh,Silent film actor,G,M,AD,Gareth Hughes
 Langston Hughes,1902-1967,American,Writer,G,M,AD,Langston Hughes
 Simon Hughes,1951,British,Politician,B,M,AD,Simon Hughes
 Emperor Hui of Han,210-188,Chinese (Han Dynasty),Head of state,B,M,BC,Emperor Hui of Han
 Tom Hulce,1953,American,Actor,G,M,AD,Tom Hulce
 Karen Hultzer,1956,South African,Archer,L,F,AD,Karen Hultzer
 Laud Humphreys,1930-1988,American,"Sociologist, writer, priest",G,M,AD,Laud Humphreys
 Mia Hundvin,1977,Norwegian,Olympic handball player,B,F,AD,Mia Hundvin
 Jerry Hunt,1943-1993,American,20th century classical composer,G,M,AD,Jerry Hunt
 J Timothy Hunt,1955,American,Journalist and writer,G,M,AD,J. Timothy Hunt
 Linda Hunt,1945,American,Actor,L,F,AD,Linda Hunt
 Alberta Hunter,1895-1984,American,Blues musician,B,F,AD,Alberta Hunter
 Dennis Hunter,�,American,Writer,G,M,AD,Dennis Hunter
 Ian Hunter,1960,Australian,Politician,G,M,AD,Ian Hunter
 Tab Hunter,1931,American,Actor,G,M,AD,Tab Hunter
 Huo Guang,-68,Chinese (Han Dynasty),Statesman,B,M,BC,Huo Guang
 William Hutt,1920-2007,Canadian,Actor,G,M,AD,William Hutt
 Kate Hutton,�,American,Seismologist,L,F,AD,Kate Hutton
 Chris Hyndman,1966-2015,Canadian,Interior designer and talk show host,G,M,AD,Chris Hyndman
 Anton Hysen,1990,Swedish,Footballer,G,M,AD,Anton Hysén
 Nicholas Hytner,1956,English,Stage and screen director,G,M,AD,Nicholas Hytner
 Paul Iacono,1988,American,Actor,G,M,AD,Paul Iacono
 Janis Ian,1951,American,Folk musician,L,F,AD,Janis Ian
 Witi Ihimaera,1944,New Zealand,Author,G,M,AD,Witi Ihimaera
 William Inge,1913-1973,American,"Playwright, novelist",G,M,AD,William Inge
 Per Imerslund,1912-1943,Norwegian,"Nazi socialist soldier, writer",G,M,AD,Per Imerslund
 John Inman,1935-2007,English,Actor,G,M,AD,John Inman
 Daniela Iraschko Stolz,1983,Austrian,Ski jumper,L,F,AD,Daniela Iraschko-Stolz
 Doug Ireland,1946,American,"Journalist, blogger",G,M,AD,Doug Ireland
 Jim Ireton,�,American,Politician,G,M,AD,Jim Ireton
 Evelyn Irons,1900-2000,Scottish,Journalist,L,F,AD,Evelyn Irons
 Han Isacson,1958-2002,Swedish,Intelligence agent,G,M,AD,Håkan Isacson
 Richard Isay,1934,American,"Author, psychiatrist",G,M,AD,Richard Isay
 Sharon Isbin,1956,American,Classical musician,L,F,AD,Sharon Isbin
 Taiga Ishikawa,1974,Japanese,"Politician, activist",G,M,AD,Taiga Ishikawa
 Sam Irvin,1956,American,Director,G,M,AD,Sam Irvin
 Elisabeth Irwin,1880-1942,American,"Educator, psychologist, reformer",L,F,AD,Elisabeth Irwin
 Christopher Isherwood,1904-1986,English,Author,G,M,AD,Christopher Isherwood
 Arturo Islas,1938-1991,American,Academic,G,M,AD,Arturo Islas
 Maja Ivarsson,1979,Swedish,Rock musician (The Sounds),B,M,AD,Maja Ivarsson
 George Cecil Ives,1867-1950,British,"Poet, writer, penal reformer, gay rights campaigner",G,M,AD,George Cecil Ives
 James Ivory,1928,American,Filmmaker,G,M,AD,James Ivory
 Harish Iyer,1979,Indian,activist,G,M,AD,Harish Iyer
 Boris Izaguirre,1965,Venezuelan,Writer,G,M,AD,Boris Izaguirre
 Jessie J,1988,English,Singer-songwriter,B,F,AD,Jessie J
 Paul Jabara,1948-1992,American,"Actor, singer-songwriter",G,M,AD,Paul Jabara
 Max Jacob,1876-1944,French,"Poet, painter, writer, critic",G,M,AD,Max Jacob
 Sir Derek Jacobi,1938,English,"Actor, director",G,M,AD,Sir Derek Jacobi
 Helen Jacobs,1908-1997,American,Professional tennis player,L,F,AD,Helen Jacobs
 Marc Jacobs,1963,American,Fashion designer,G,M,AD,Marc Jacobs
 Cheyenne Jackson,1975,American,Actor,G,M,AD,Cheyenne Jackson
 Jill Jackson,1980,Scottish,Singer-songwriter,L,F,AD,Jill Jackson
 Cheryl Jacques,1962,United States,"Politician, LGBT rights activist",L,F,AD,Cheryl Jacques
 Hans Henny Jahnn,1894-1959,German,"Playwright, novelist",B,M,AD,Hans Henny Jahnn
 Afdhere Jama,1978,Somalian,Writer,G,M,AD,Afdhere Jama
 Aiden James,1982,American,Singer-songwriter,G,M,AD,Aiden James
 Duncan James,1979,English,"Singer, Songwriter",B,M,AD,Duncan James
 Jeremy James,1978,American,Singer/songwriter,G,M,AD,Jeremy James
 Margot James,1958,English,"Politician, entrepreneur",L,F,AD,Margot James
 Sylvester James,1948-1988,American,Musician and drag artiste,G,M,AD,Sylvester James
 Jesse Jane,1980,American,Porn star,B,F,AD,Jesse Jane
 Claude Janiak,1948,Swiss,Politician,G,M,AD,Claude Janiak
 Tove Jansson,1914-2001,Finnish,Author,L,F,AD,Tove Jansson
 Derek Jarman,1942-1994,English,Film director,G,M,AD,Derek Jarman
 Alfred Jarry,1873-1907,French,Playwright,G,M,AD,Alfred Jarry
 Karla Jay,1947,American,"Professor, LGBT rights activist",L,F,AD,Karla Jay
 Lorri Jean,�,American,LGBT rights activist,L,F,AD,Lorri Jean
 Walter Jenkins,1918-1985,American,special assistant to U.S. President Lyndon B. Johnson,B,M,AD,Walter Jenkins
 Shyla Jennings,1989,American,Porn Star,B,F,AD,Shyla Jennings
 Drake Jensen,1970,Canadian,country singer-songwriter,G,M,AD,Drake Jensen
 Christian Jessen,1977,British,Medical doctor and Television presenter.,G,M,AD,Christian Jessen
 Michael Jeter,1952-2003,American,Actor,G,M,AD,Michael Jeter
 Geri Jewell,1956,American,Actor and Comedian,L,F,AD,Geri Jewell
 Sarah Orne Jewett,1849-1909,American,Author,L,F,AD,Sarah Orne Jewett
 Barbara Jezer �ek,1986,Slovenian,Skier,L,F,AD,Barbara Jezeršek
 Patria Jimenez,1957,Mexican,"Politician, first openly lesbian member of the Congress of Mexico",L,F,AD,Patria Jiménez
 Phil Jimenez,1970,American,Comic artist,G,M,AD,Phil Jimenez
 Emperor Jing of Han,188-141,Chinese (Han Dynasty),Head of state,B,M,BC,Emperor Jing of Han
 Laurie Jinkins,�,American,Politician,L,F,AD,Laurie Jinkins
 Peter Joback,1971,Swedish,Singer,G,M,AD,Peter Jöback
 Jobriath,1946-1983,American,Rock musician,G,M,AD,Jobriath
 Percy Jocelyn,1764-1842,Irish,Anglican Bishop of Clogher,G,M,AD,Percy Jocelyn
 Edmund John,1883-1917,English,Uranian poet,G,M,AD,Edmund John
 Elton John,1947,English,Musician,G,M,AD,Elton John
 Jeffrey John,1953,English,Anglican priest,G,M,AD,Jeffrey John
 Jasper Johns,1930,American,Artist,G,M,AD,Jasper Johns
 Christine Johnson,1968,American,Politician,L,F,AD,Christine Johnson
 Craig Johnson,�,American,"Film director, screenwriter",G,M,AD,Craig Johnson
 Darren Johnson,1966,English,Politician,G,M,AD,Darren Johnson
 Fenton Johnson,1954,American,Author,G,M,AD,Fenton Johnson
 Glory Johnson,1990,American,Basketball player,L,F,AD,Glory Johnson
 Holly Johnson,1960,English,Musician,G,M,AD,Holly Johnson
 Lionel Johnson,1867-1902,English,Poet,G,M,AD,Lionel Johnson
 Philip Johnson,1906-2005,American,Architect,G,M,AD,Philip Johnson
 Sonia Johnson,1936,American,Feminist activist and writer,L,F,AD,Sonia Johnson
 Frances Benjamin Johnston,1864-1952,American,Photographer,L,F,AD,Frances Benjamin Johnston
 Justine Joli,1980,American,Porn Star,B,F,AD,Justine Joli
 Angelina Jolie,1975,American,Actor,B,F,AD,Angelina Jolie
 Aled Haydn Jones,1976,Welsh,Radio DJ,G,M,AD,Aled Haydn Jones
 Bill T Jones,1952,American,"Dancer, choreographer",G,M,AD,Bill T. Jones
 Cherry Jones,1956,American,Actor,L,F,AD,Cherry Jones
 Cleve Jones,1954,American,Activist,G,M,AD,Cleve Jones
 G B Jones,1965,Canadian,"Artist, filmmaker",B,M,AD,G. B. Jones
 Mike Jones,1957,American,Personal trainer and former male prostitute,G,M,AD,Mike Jones
 Randy Jones,1952,American,Musician (Village People),G,M,AD,Randy Jones
 Rosie Jones,1959,American,Golfer,L,F,AD,Rosie Jones
 Wolfgang Joop,1944,German,Fashion Designer,B,M,AD,Wolfgang Joop
 Janis Joplin,1943-1970,American,Singer,B,F,AD,Janis Joplin
 Barbara Jordan,1936-1996,American,U.S. Representative from Texas,L,F,AD,Barbara Jordan
 Leslie Jordan,1955,American,Actor,G,M,AD,Leslie Jordan
 Orlando Jordan,1980,American,Professional wrestler,B,M,AD,Orlando Jordan
 Marcel Jouhandeau,1888-1979,French,Writer,G,M,AD,Marcel Jouhandeau
 Mychal F Judge,1933-2001,American,"Franciscan priest, FDNY chaplain, ""Saint of 9/11"".",G,M,AD,Mychal F. Judge
 Rafe Judkins,1983,American,Reality show contestant,G,M,AD,Rafe Judkins
 Isaac Julien,1960,English,"Installation artist, filmmaker, director",G,M,AD,Isaac Julien
 Miranda July,1974,American,"Performance artist, filmmaker, writer",B,F,AD,Miranda July
 Sabine Jaer,1973,German,Politician,L,F,AD,Sabine Jünger
 Jolie Justus,1971,American,Politician,L,F,AD,Jolie Justus
 Claude Jutra,1930-1986,Canadian,Film-maker,G,M,AD,Claude Jutra
 Patrick Juvet,1950,Swiss,Singer,B,M,AD,Patrick Juvet
 Joshua Kadison,1963,American,Pop musician,B,M,AD,Joshua Kadison
 Frida Kahlo,1907-1954,Mexican,"Painter, artist",B,F,AD,Frida Kahlo
 Johannes Kahrs,1963,German,Politician,G,M,AD,Johannes Kahrs
 Hilda Kakoski,1864-1912,Finnish,"Politician, writer",L,F,AD,Hilda Käkikoski
 Chester Kallman,1921-1975,American,Poet,G,M,AD,Chester Kallman
 Frank Kameny,1925,American,LGBT activist,G,M,AD,Frank Kameny
 Candye Kane,1965,American,Musician and former porn star,B,F,AD,Candye Kane
 Chris Kanyon,1970-2010,American,Professional wrestler,G,M,AD,Chris Kanyon
 Rebecca Kaplan,1970,American,Politician,B,F,AD,Rebecca Kaplan
 Roberta A Kaplan,1966,American,Litigator,L,F,AD,Roberta A. Kaplan
 Pamela S Karlan,1959,American,Professor of Law,L,F,AD,Pamela S. Karlan
 Peter Karlsson,1966-1995,Swedish,Ice hockey player,G,M,AD,Peter Karlsson
 Roger Karoutchi,1951,French,Politician,G,M,AD,Roger Karoutchi
 David Kato,1964-2011,Ugandan,LGBT rights activist,G,M,AD,David Kato
 Carl Katter,1978,Australian,"LGBT rights activist, politician",G,M,AD,Carl Katter
 Michael Kauch,1967,German,Politician,G,M,AD,Michael Kauch
 Moises Kaufman,1963,Venezuelan,"Playwright, director",G,M,AD,Moisés Kaufman
 Christine Kaufmann,1951,American,Politician,L,F,AD,Christine Kaufmann
 Ashok Row Kavi,1947,Indian,"Writer, theologian",G,M,AD,Ashok Row Kavi
 Jackie Kay,1961,Scottish,Writer,L,F,AD,Jackie Kay
 Gorden Kaye,1941,English,Actor,G,M,AD,Gorden Kaye
 Joe Keenan,1958,American,"Screenwriter, TV producer, novelist",G,M,AD,Joe Keenan
 Tommy Keene,1957,American,Rock musician,G,M,AD,Tommy Keene
 Christine Kehoe,1950,American,Politician,L,F,AD,Christine Kehoe
 Micah Kellner,1978,American,Politician,B,M,AD,Micah Kellner
 Clinton Kelly,1969,American,TV personality,G,M,AD,Clinton Kelly
 George Edward Kelly,1887-1974,American,"Playwright, director, actor",G,M,AD,George Edward Kelly
 Johan Kenkhuis,1980,Dutch,Olympic swimmer,G,M,AD,Johan Kenkhuis
 Brian Kennedy,-1991,British,Journalist,G,M,AD,Brian Kennedy
 Brian Kennedy,1966,Irish,Rock musician,G,M,AD,Brian Kennedy
 Helen Kennedy,1958,Canadian,"Politician, activist",L,F,AD,Helen Kennedy
 Sean W Kennedy,1987-2007,American,Murder victim,G,M,AD,Sean W. Kennedy
 Jack Kenny,1958,American,"Television writer, producer",G,M,AD,Jack Kenny
 Hape Kerkeling,1964,German,Television comdian and producer,G,M,AD,Hape Kerkeling
 Johannes Kerkorrel,1960-2002,Afrikaner,Pop musician,G,M,AD,Johannes Kerkorrel
 Keith Kerr,1936,American,Colonel,G,M,AD,Keith Kerr
 J Warren Kerrigan,1879-1947,American,Actor,G,M,AD,J. Warren Kerrigan
 Larry Kert,1930-1991,American,"Actor, singer",G,M,AD,Larry Kert
 Kesha,1987,American,Singer-songwriter,B,F,AD,Kesha
 Maya Keyes,1985,American,Political activist,L,F,AD,Maya Keyes
 John Maynard Keynes,1883-1946,British,Economist,G,M,AD,John Maynard Keynes
 El Farouk Khaki,1963,Canadian,Lawyer and activist,G,M,AD,El-Farouk Khaki
 Chip Kidd,1964,American,Graphic designer,G,M,AD,Chip Kidd
 Saleem Kidwai,1951,Indian,Author,G,M,AD,Saleem Kidwai
 Caitla R Kiernan,1964,American,Author,L,F,AD,Caitlín R. Kiernan
 Kim Jihoo,1985-2008,South Korean,Actor and model,G,M,AD,Kim Ji-hoo
