Name,Lifetime,Nationality,Notable as,Orientation,Sex,Era,Name.old
 Brea Bennett,1987,American,Porn star,B,F,AD,Brea Bennett
 Bryce Bennett,1984,American,Politician,G,M,AD,Bryce Bennett
 Jill Bennett,1975,American,Actress,L,F,AD,Jill Bennett
 Michael Bennett,1943-1987,American,"Creator, director, and choreographer of A Chorus Line",G,M,AD,Michael Bennett
 Trevor Bentham,1943,British,"Screenwriter, partner of actor Nigel Hawthorne",G,M,AD,Trevor Bentham
 Gladys Bentley,1907-1960,American,Blues musician,L,F,AD,Gladys Bentley
 Anita Berber,1899-1928,German,"Dancer, actress",B,F,AD,Anita Berber
 A Scott Berg,1949,American,Writer,G,M,AD,A. Scott Berg
 Marianne Berg,1954,Swedish,Politician,L,F,AD,Marianne Berg
 Helmut Berger,1944,Austrian,Actor,B,M,AD,Helmut Berger
 Cyrano de Bergerac,1619-1655,French,French dramatist and duelist,G,M,AD,Cyrano de Bergerac
 David Bergman,1950,American,Writer,G,M,AD,David Bergman
 Kajsa Bergqvist,1976,Swedish,High Jumper,B,M,AD,Kajsa Bergqvist
 Humphry Berkeley,1926-1994,British,Politician,G,M,AD,Humphry Berkeley
 Nate Berkus,1971,American,Interior designer,G,M,AD,Nate Berkus
 Greg Berlanti,1972,American,Television writer and producer,G,M,AD,Greg Berlanti
 Josh Berman,1970,American,"Television writer, producer",G,M,AD,Josh Berman
 Rodney Berman,1969,Scottish,Politician,G,M,AD,Rodney Berman
 Sandra Bernhard,1955,American,Comedian,B,F,AD,Sandra Bernhard
 Leonard Bernstein,1918-1990,American,Classical music conductor and composer,B,M,AD,Leonard Bernstein
 Samuel Bernstein,1970,American,Writer,G,M,AD,Samuel Bernstein
 Michael Berresse,1964,American,"Actor, choreographer",G,M,AD,Michael Berresse
 Al Berto,1948-1997,Portuguese,Artist,G,M,AD,Al Berto
 Betty Berzon,1928-2006,American,"Author, psychotherapist",L,F,AD,Betty Berzon
 Sarah Bettens,1972,Belgian,Rock musician (K's Choice),L,F,AD,Sarah Bettens
 Clive Betts,1950,British,Politician,G,M,AD,Clive Betts
 Ole von Beust,1955,German,Politician,G,M,AD,Ole von Beust
