"Name","Lifetime","Nationality","Notable.as","Orientation","Sex","Era","Name.old","Partners","Link"
" Arondeus Willem","1894-1943","Dutch","Painter and member of the Dutch resistance","G","M","AD","Arondeus, WillemWillem Arondeus","0","https://en.wikipedia.org/wiki/Willem_Arondeus"
" Arrowood John S","1956","American","Judge","G","M","AD","Arrowood, John S.John S. Arrowood","0","0"
" Arrowsmith Pat","1930","British","Writer, peace activist","L","F","AD","Arrowsmith, PatPat Arrowsmith","0","https://en.wikipedia.org/wiki/Pat_Arrowsmith"
" Arthur Robert","1925-2008","American","Actor","G","M","AD","Arthur, RobertRobert Arthur","0","https://en.wikipedia.org/wiki/Arthur_Robert"
" Arvin Newton","1900-1963","American","Writer, academic","G","M","AD","Arvin, NewtonNewton Arvin","0","https://en.wikipedia.org/wiki/Newton_Arvin"
" Arzner Dorothy","1897-1979","American","Film director","L","F","AD","Arzner, DorothyDorothy Arzner","0","https://en.wikipedia.org/wiki/Dorothy_Arzner"
" Ashbery John","1927","American","Poet","G","M","AD","Ashbery, JohnJohn Ashbery","David Kermani","https://en.wikipedia.org/wiki/John_Ashbery"
" Ashburn Roy","1954","American","Politician","G","M","AD","Ashburn, RoyRoy Ashburn","0","https://en.wikipedia.org/wiki/Roy_Ashburn"
" Ashman Howard","1950-1991","American","Lyricist","G","M","AD","Ashman, HowardHoward Ashman","0","https://en.wikipedia.org/wiki/Howard_Ashman"
" Ashton Frederick","1904-1988","British","Choreographer","G","M","AD","Ashton, FrederickFrederick Ashton","0","https://en.wikipedia.org/wiki/Frederick_Ashton"
" Askew Othniel","1972-2003","American","Politician, murderer","G","M","AD","Askew, OthnielOthniel Askew","0","https://en.wikipedia.org/wiki/Othniel_Askew"
" Aslan Raoul","1886-1958","Austrian","Actor","G","M","AD","Aslan, RaoulRaoul Aslan","0","https://en.wikipedia.org/wiki/Raoul_Aslan"
" Asquith Anthony","1902-1968","British","Film director","G","M","AD","Asquith, AnthonyAnthony Asquith","0","https://en.wikipedia.org/wiki/Anthony_Asquith"
" Astbury Rob","1948","Australian","Journalist, television presenter","G","M","AD","Astbury, RobRob Astbury","0","https://en.wikipedia.org/wiki/Rob_Astbury"
" Asther Nils","1897-1981","Swedish","Stage and silent film actor","G","M","AD","Asther, NilsNils Asther","Vivian Duncan (1930-1932) (divorced) 1 child","https://en.wikipedia.org/wiki/Nils_Asther"
" Astrom Sverker arom","1915-2012","Swedish","Diplomat","G","M","AD","Astrom, SverkerSverker Åström","0","0"
" Atala Karen","1964","Chilean","Lawyer, fighting for custody of her children","L","F","AD","Atala, KarenKaren Atala","0","https://en.wikipedia.org/wiki/Karen_Atala"
" Ataman Kutluay","1961","Turkish","Filmmaker","G","M","AD","Ataman, KutluğKutluğ Ataman","0","0"
" Atherton John","1598-1640","English","Anglican bishop executed for buggery","G","M","AD","Atherton, JohnJohn Atherton","0","https://en.wikipedia.org/wiki/John_Atherton"
" Athey Ron","1961","American","Artist","G","M","AD","Athey, RonRon Athey","0","https://en.wikipedia.org/wiki/Ron_Athey"
" Atkins Toni","1962","American","Politician","L","F","AD","Atkins, ToniToni Atkins","Jennifer LeSar","https://en.wikipedia.org/wiki/Toni_Atkins"
" Atkinson Ti Grace","1938","American","Feminist author","L","F","AD","Atkinson, Ti-GraceTi-Grace Atkinson","0","https://en.wikipedia.org/wiki/Ti_Grace_Atkinson"
