Name,Lifetime,Nationality,Notable.as,Orientation,Sex,Era,Name.old,Partners,Link
 Ashburn Roy,1954,American,Politician,G,M,AD,"Ashburn, RoyRoy Ashburn",NA,https://en.wikipedia.org/wiki/Roy_Ashburn
 Ashman Howard,1950-1991,American,Lyricist,G,M,AD,"Ashman, HowardHoward Ashman",NA,https://en.wikipedia.org/wiki/Howard_Ashman
 Ashton Frederick,1904-1988,British,Choreographer,G,M,AD,"Ashton, FrederickFrederick Ashton",NA,https://en.wikipedia.org/wiki/Frederick_Ashton
 Askew Othniel,1972-2003,American,"Politician, murderer",G,M,AD,"Askew, OthnielOthniel Askew",NA,https://en.wikipedia.org/wiki/Othniel_Askew
 Aslan Raoul,1886-1958,Austrian,Actor,G,M,AD,"Aslan, RaoulRaoul Aslan",NA,https://en.wikipedia.org/wiki/Raoul_Aslan
 Asquith Anthony,1902-1968,British,Film director,G,M,AD,"Asquith, AnthonyAnthony Asquith",NA,https://en.wikipedia.org/wiki/Anthony_Asquith
 Astbury Rob,1948,Australian,"Journalist, television presenter",G,M,AD,"Astbury, RobRob Astbury",NA,https://en.wikipedia.org/wiki/Rob_Astbury
 Asther Nils,1897-1981,Swedish,Stage and silent film actor,G,M,AD,"Asther, NilsNils Asther",NA,https://en.wikipedia.org/wiki/Nils_Asther
 Astrom Sverker arom,1915-2012,Swedish,Diplomat,G,M,AD,"Astrom, SverkerSverker Åström",NA,0
 Atala Karen,1964,Chilean,"Lawyer, fighting for custody of her children",L,F,AD,"Atala, KarenKaren Atala",NA,https://en.wikipedia.org/wiki/Karen_Atala
 Ataman Kutluay,1961,Turkish,Filmmaker,G,M,AD,"Ataman, KutluğKutluğ Ataman",NA,0
 Atherton John,1598-1640,English,Anglican bishop executed for buggery,G,M,AD,"Atherton, JohnJohn Atherton",NA,https://en.wikipedia.org/wiki/John_Atherton
 Athey Ron,1961,American,Artist,G,M,AD,"Athey, RonRon Athey",NA,https://en.wikipedia.org/wiki/Ron_Athey
 Atkins Toni,1962,American,Politician,L,F,AD,"Atkins, ToniToni Atkins",NA,https://en.wikipedia.org/wiki/Toni_Atkins
 Atkinson Ti Grace,1938,American,Feminist author,L,F,AD,"Atkinson, Ti-GraceTi-Grace Atkinson",NA,https://en.wikipedia.org/wiki/Ti_Grace_Atkinson
 Attling Efva,1952,Swedish,Jewelry designer,L,F,AD,"Attling, EfvaEfva Attling",NA,https://en.wikipedia.org/wiki/Efva_Attling
 Atwater Rhodes Amelia,1984,American,Writer,L,F,AD,"Atwater-Rhodes, AmeliaAmelia Atwater-Rhodes",NA,0
 Au Alex,1952,Singaporean,"LGBT rights activist, writer",G,M,AD,"Au, AlexAlex Au",NA,https://en.wikipedia.org/wiki/Alex_Au
 Aucoin Kevyn,1962-2002,American,Make-up artist,G,M,AD,"Aucoin, KevynKevyn Aucoin",NA,https://en.wikipedia.org/wiki/Kevyn_Aucoin
 Auden W H,1907-1973,British,Poet,G,M,AD,"Auden, W. H.W. H. Auden",NA,https://en.wikipedia.org/wiki/W_H_Auden
 August John,1970,American,Screenwriter,G,M,AD,"August, JohnJohn August",NA,https://en.wikipedia.org/wiki/John_August
 Augustus Seimone,1984,American,Basketball player,L,F,AD,"Augustus, SeimoneSeimone Augustus",NA,https://en.wikipedia.org/wiki/Seimone_Augustus
 Ausiello Michael,1972,American,Television journalist,G,M,AD,"Ausiello, MichaelMichael Ausiello",NA,https://en.wikipedia.org/wiki/Michael_Ausiello
 Avedisian Edward,1936-2007,American,Painter,G,M,AD,"Avedisian, EdwardEdward Avedisian",NA,https://en.wikipedia.org/wiki/Edward_Avedisian
 Aviance Kevin,1968,American,Entertainer,G,M,AD,"Aviance, KevinKevin Aviance",NA,https://en.wikipedia.org/wiki/Kevin_Aviance
 Axgil Axel and Eigil,1915-2011,Danish,First gay couple in the world joined in a civil union,G,M,AD,"Axgil, Axel and EigilAxel and Eigil Axgil",NA,0
 Ayres Tony,1961,Australian,"Film director, screenwriter",G,M,AD,"Ayres, TonyTony Ayres",NA,https://en.wikipedia.org/wiki/Tony_Ayres
 Azar Assi,1979,Israel,Television personality,G,M,AD,"Azar, AssiAssi Azar",NA,https://en.wikipedia.org/wiki/Assi_Azar
 Azis,1978,Romani-Bulgarian,Chalga singer,G,M,AD,Azis,NA,https://en.wikipedia.org/wiki/Azis
 Lisa B,�,Canadian,Poet,B,F,AD,Lisa B,NA,https://en.wikipedia.org/wiki/Lisa_B
 Jamie Babbit,1970,American,Film and television director,L,F,AD,Jamie Babbit,NA,https://en.wikipedia.org/wiki/Jamie_Babbit
 Paul Babeu,1969,American,Politician,G,M,AD,Paul Babeu,NA,https://en.wikipedia.org/wiki/Paul_Babeu
 Babur,1483-1530,Indian/Mughal,Emperor and founder of the Mughal Empire in the Indian subcontinent,B,M,AD,Babur,NA,https://en.wikipedia.org/wiki/Babur
 Babydaddy,1976,American,Rock musician,G,M,AD,Babydaddy,NA,https://en.wikipedia.org/wiki/Babydaddy
